HEADING,PITCH,ROLL,TEMP,DEPTH,Ax,Ay,Az,Vh,NetV,NetA
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.027943457,0.013990397,-0.45348656,9.999275E-4
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.027943457,0.013990397,-0.4586878,0.0
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.026962237,-0.02694347,0.013490738,-0.46384144,0.0
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.02694347,0.013990397,-0.46899506,0.0
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.02694347,0.013990397,-0.4741487,0.0
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.02694347,0.013990397,-0.47930232,0.0
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.02694347,0.013990397,-0.48445594,0.0
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.02694347,0.013990397,-0.48960957,-0.0010000467
84.7,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.02694347,0.013981123,-0.4947632,-0.0010000467
84.7,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.02694347,0.013981123,-0.49991682,0.0
84.7,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.025943482,0.013981123,-0.5050228,-0.0010000467
84.7,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.025943482,0.013981123,-0.51012886,-0.0010000467
84.9,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.024943495,0.013981123,-0.51518726,-0.0020000339
84.9,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.024943495,0.013981123,-0.5202457,-0.0020000339
84.9,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.024943495,0.013981123,-0.5253041,-0.0020000339
84.9,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.025943482,0.013990397,-0.5304101,-0.0010000467
84.9,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.025943482,0.013990397,-0.53551614,-0.0010000467
84.9,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.025943482,0.013990397,-0.5406222,-0.0010000467
84.9,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.025943482,0.013990397,-0.5457282,-0.0020000339
84.7,0.39999962,0.80000305,0,0.0,0.0020187497,-0.02796224,-0.025943482,0.014017508,-0.55083424,-0.0020000339
84.7,0.39999962,0.80000305,0,0.0,0.0020187497,-0.02796224,-0.025943482,0.014017508,-0.5559403,-0.0020000339
84.7,0.39999962,0.80000305,0,0.0,0.0020187497,-0.02796224,-0.02694347,0.014017508,-0.5610939,-0.0010000467
84.7,0.39999962,0.80000305,0,0.0,0.0020187497,-0.02796224,-0.02694347,0.014017508,-0.5662476,-0.0010000467
84.7,0.39999962,0.80000305,0,0.0,0.0020187497,-0.026962237,-0.02694347,0.013518853,-0.57140124,-0.0010000467
84.7,0.39999962,0.80000305,0,0.0,0.0020187497,-0.026962237,-0.025943482,0.013518853,-0.5765073,-0.0020000339
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.026962237,-0.025943482,0.013490738,-0.5816133,-0.0020000339
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.025962235,-0.025943482,0.012991108,-0.58671933,-0.0010000467
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.025962235,-0.025943482,0.012991108,-0.59182537,-0.0010000467
84.7,0.39999962,0.80000305,0,0.0,0.0010187626,-0.025962235,-0.025943482,0.012991108,-0.5969314,-0.0010000467
84.7,0.39999962,0.69999695,0,0.0,0.0010187626,-0.02421695,-0.025198184,0.012119184,-0.6020019,-0.0010000467
84.7,0.39999962,0.69999695,0,0.0,0.0010187626,-0.02421695,-0.025198184,0.012119184,-0.6070724,0.0
84.7,0.39999962,0.69999695,0,0.0,0.0010187626,-0.02421695,-0.024198197,0.012119184,-0.6120953,-0.0010000467
